User-Defined Residential Building,
Inputs + Space Description,
,Co (ppm),HCeil (m),tmetric (h),Q (L/s person),Qalt (L/s person),Bfl (m²),
,420,2.4,2.0,5.1,10.0,84,

Scenario,Method,NOccH,Nbr,
Whole House,ACH,3,2,

Occupants,
,Nocc,Sex,Mass (kg),Age Group,Activity Level (met),
,1,M,68.0,30 to 59,1,
,1,F,63.5,30 to 59,1,
,1,M,18.1,3 to 9,1,

,tss (h),Css (ppm),Cm (ppm),C1h (ppm),
Primary Results,11.1,983,655,553,
Alternate Results,17.1,1285,676,559,

Plot Data,
,Time (h),C (ppm),Calt (ppm),
,6.78,892,1022,
,6.80,893,1023,
,6.82,893,1024,
,6.83,894,1024,
,6.85,894,1025,
,6.87,894,1026,
,6.88,895,1027,
,6.90,895,1028,
,6.92,896,1028,
,6.93,896,1029,
,6.95,896,1030,
,6.97,897,1031,
,6.98,897,1031,
,7.00,898,1032,
,7.02,898,1033,
,7.03,898,1033,
,7.05,899,1034,
,7.07,899,1035,
,7.08,899,1036,
,7.10,900,1036,
,7.12,900,1037,
,7.13,901,1038,
,7.15,901,1039,
,7.17,901,1039,
,7.18,902,1040,
,7.20,902,1041,
,7.22,902,1041,
,7.23,903,1042,
,7.25,903,1043,
,7.27,903,1044,
,7.28,904,1044,
,7.30,904,1045,
,7.32,905,1046,
,7.33,905,1046,
,7.35,905,1047,
,7.37,906,1048,
,7.38,906,1048,
,7.40,906,1049,
,7.42,907,1050,
,7.43,907,1051,
,7.45,907,1051,
,7.47,908,1052,
,7.48,908,1053,
,7.50,908,1053,
,7.52,909,1054,
,7.53,909,1055,
,7.55,909,1055,
,7.57,910,1056,
,7.58,910,1057,
,7.60,910,1057,
,7.62,911,1058,
,7.63,911,1059,
,7.65,911,1059,
,7.67,912,1060,
,7.68,912,1061,
,7.70,912,1061,
,7.72,913,1062,
,7.73,913,1063,
,7.75,913,1063,
,7.77,913,1064,
,7.78,914,1065,
,7.80,914,1065,
,7.82,914,1066,
,7.83,915,1066,
,7.85,915,1067,
,7.87,915,1068,
,7.88,916,1068,
,7.90,916,1069,
,7.92,916,1070,
,7.93,917,1070,
,7.95,917,1071,
,7.97,917,1072,
,7.98,917,1072,
,8.00,918,1073,
,8.02,918,1073,
,8.03,918,1074,
,8.05,919,1075,
,8.07,919,1075,
,8.08,919,1076,
,8.10,919,1076,
,8.12,920,1077,
,8.13,920,1078,
,8.15,920,1078,
,8.17,921,1079,
,8.18,921,1079,
,8.20,921,1080,
,8.22,921,1081,
,8.23,922,1081,
,8.25,922,1082,
,8.27,922,1082,
,8.28,922,1083,
,8.30,923,1084,
,8.32,923,1084,
,8.33,923,1085,
,8.35,924,1085,
,8.37,924,1086,
,8.38,924,1087,
,8.40,924,1087,
,8.42,925,1088,
,8.43,925,1088,
,8.45,925,1089,
,8.47,925,1089,
,8.48,926,1090,
,8.50,926,1091,
,8.52,926,1091,
,8.53,926,1092,
,8.55,927,1092,
,8.57,927,1093,
,8.58,927,1093,
,8.60,927,1094,
,8.62,928,1095,
,8.63,928,1095,
,8.65,928,1096,
,8.67,928,1096,
,8.68,929,1097,
,8.70,929,1097,
,8.72,929,1098,
,8.73,929,1098,
,8.75,930,1099,
,8.77,930,1099,
,8.78,930,1100,
,8.80,930,1101,
,8.82,931,1101,
,8.83,931,1102,
,8.85,931,1102,
,8.87,931,1103,
,8.88,931,1103,
,8.90,932,1104,
,8.92,932,1104,
,8.93,932,1105,
,8.95,932,1105,
,8.97,933,1106,
,8.98,933,1106,
,9.00,933,1107,
,9.02,933,1107,
,9.03,934,1108,
,9.05,934,1108,
,9.07,934,1109,
,9.08,934,1110,
,9.10,934,1110,
,9.12,935,1111,
,9.13,935,1111,
,9.15,935,1112,
,9.17,935,1112,
,9.18,935,1113,
,9.20,936,1113,
,9.22,936,1114,
,9.23,936,1114,
,9.25,936,1115,
,9.27,936,1115,
,9.28,937,1116,
,9.30,937,1116,
,9.32,937,1117,
,9.33,937,1117,
,9.35,938,1118,
,9.37,938,1118,
,9.38,938,1119,
,9.40,938,1119,
,9.42,938,1120,
,9.43,939,1120,
,9.45,939,1120,
,9.47,939,1121,
,9.48,939,1121,
,9.50,939,1122,
,9.52,940,1122,
,9.53,940,1123,
,9.55,940,1123,
,9.57,940,1124,
,9.58,940,1124,
,9.60,940,1125,
,9.62,941,1125,
,9.63,941,1126,
,9.65,941,1126,
,9.67,941,1127,
,9.68,941,1127,
,9.70,942,1128,
,9.72,942,1128,
,9.73,942,1128,
,9.75,942,1129,
,9.77,942,1129,
,9.78,942,1130,
,9.80,943,1130,
,9.82,943,1131,
,9.83,943,1131,
,9.85,943,1132,
,9.87,943,1132,
,9.88,944,1133,
,9.90,944,1133,
,9.92,944,1133,
,9.93,944,1134,
,9.95,944,1134,
,9.97,944,1135,
,9.98,945,1135,
,10.00,945,1136,
,10.02,945,1136,
,10.03,945,1136,
,10.05,945,1137,
,10.07,945,1137,
,10.08,946,1138,
,10.10,946,1138,
,10.12,946,1139,
,10.13,946,1139,
,10.15,946,1140,
,10.17,946,1140,
,10.18,947,1140,
,10.20,947,1141,
,10.22,947,1141,
,10.23,947,1142,
,10.25,947,1142,
,10.27,947,1142,
,10.28,948,1143,
,10.30,948,1143,
,10.32,948,1144,
,10.33,948,1144,
,10.35,948,1145,
,10.37,948,1145,
,10.38,948,1145,
,10.40,949,1146,
,10.42,949,1146,
,10.43,949,1147,
,10.45,949,1147,
,10.47,949,1147,
,10.48,949,1148,
,10.50,950,1148,
,10.52,950,1149,
,10.53,950,1149,
,10.55,950,1149,
,10.57,950,1150,
,10.58,950,1150,
,10.60,950,1151,
,10.62,951,1151,
,10.63,951,1151,
,10.65,951,1152,
,10.67,951,1152,
