start_time,Distance (in),Experiment,end_time,competing airflow,Fan,shroud,spacing (in),push filters,pull filters,filepath
2023-07-05 07:04:11.750301,4,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:04:37.041217,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:05:28.089624,6,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:06:04.486837,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:06:57.098457,8,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:07:42.252278,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:08:49.910406,10,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:09:34.237593,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:11:41.849657,12,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:12:16.135931,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:12:57.480168,14,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:13:47.281035,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:14:42.752245,16,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:15:25.037257,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:16:33.049900,18,"2 QT3, 2 Arctic P12 Max 2/3 speed",2023-07-05 07:17:17.977376,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:18:03.295564,18,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:18:43.907640,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:19:33.403759,16,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:20:10.192466,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:20:58.193724,14,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:21:35.097885,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:22:01.037778,12,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:22:31.284341,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:23:13.308367,10,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:23:54.355083,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:24:55.860572,8,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:25:36.004055,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:26:22.225821,8,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:25:36.004055,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
